"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"Marselle 2019_CODED","Chi2",1,NA,"=",4.04,"=",0.04,0.0444338217383754,"X2 (1) = 4.04, p = 0.04",FALSE,FALSE,FALSE,FALSE,0.08
"Marselle 2019_CODED","t",NA,595.27,"=",2.01,"=",0.05,0.0448818670495853,"t(595.27)
= 2.01, p = 0.05",FALSE,FALSE,FALSE,FALSE,0.08
"Meuwese 2021_CODED","t",NA,53,"=",-3.17,"=",0.002,0.00253293333022307,"t (53) = -3.17,
p = .002",FALSE,FALSE,TRUE,FALSE,0.33
"Niedermeier 2017_CODED","F",2,80,"=",6.2,"=",0.003,0.00313848914475202,"F(2,80) = 6.20, p = 0.003",FALSE,FALSE,FALSE,FALSE,0.29
"Niedermeier 2017_CODED","F",1.6,65,"=",7.2,"=",0.003,0.0030154372750027,"F(1.6,65.0) = 7.20,
p = 0.003",FALSE,FALSE,FALSE,FALSE,0.29
"Van den Berg 2014_CODED","F",3,97,"=",2.09,"=",0.1,0.106532558170927,"F(3,
97) = 2.09, p = .1",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",1,97,"=",17.81,"<",0.001,5.49796261700548e-05,"F(1, 97) = 17.81, p < .001",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",3,97,"=",2.77,"<",0.05,0.0457275726943977,"F(3, 97) = 2.77, p < .05",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",1,97,"=",23.54,"<",0.001,4.6680786908591e-06,"F(1, 97) = 23.54, p < .001",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",3,97,"=",3.64,"<",0.05,0.0154511141372229,"F(3,
97) = 3.64, p < .05",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",1,97,"=",61.41,"<",0.001,5.96351326252158e-12,"F(1, 97) = 61.41,
p < .001",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",1,97,"=",11.31,"<",0.01,0.00110470529065327,"F(1, 97) = 11.31, p < .01",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",1,97,"=",13.1,"<",0.001,0.000471466756012828,"F(1, 97) = 13.1, p < .001",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","F",1,72,"=",3.92,"<",0.05,0.0515376817657827,"F(1, 72) = 3.92, p < .05",TRUE,TRUE,TRUE,FALSE,0.52
"Van den Berg 2014_CODED","Chi2",1,NA,"=",42.63,"<",0.001,6.61372116888593e-11,"i2 (1) = 42.63, p < .001",FALSE,FALSE,FALSE,FALSE,0.52
"Van den Berg 2014_CODED","Chi2",1,NA,"=",10.06,"<",0.01,0.00151523226482584,"i2 (1) = 10.06, p < .01",FALSE,FALSE,FALSE,FALSE,0.52
"Wang 2016","F",6,126,"=",2.499,"=",0.026,0.0255854270002637,"F(6, 126) = 2.499, p = 0.026",FALSE,FALSE,FALSE,FALSE,0.16
"Wang 2016","Chi2",6,NA,"=",22.379,"=",0.001,0.00103351499230154,"(2 (6) = 22.379, p = 0.001",FALSE,FALSE,FALSE,FALSE,0.16
"Wang 2016","F",6,133,"=",11.59,"<",0.001,2.05667805417505e-10,"F(6 , 133) = 11.59, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.16
"Wang 2016","F",6,133,"=",25.68,"<",0.001,4.10671032187678e-20,"F(6 , 133) = 25.68, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.16
"Wang 2016","F",6,133,"=",22.92,"<",0.001,1.92138147685176e-18,"F(6, 133) = 22.92,
p < 0.001",FALSE,FALSE,FALSE,FALSE,0.16
"Wang 2016","F",6,133,"=",14.25,"<",0.001,1.704553199837e-12,"F(6, 133) = 14.25, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.16
